"","tax1","tax2","tax3","tax4","tax5","tax6","tax7"
"OTU_825","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis","g__Cryptococcus","s__Cryptococcus aff amylolyticus AS 22501"
"OTU_47505","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Incertae sedis",NA,NA
"OTU_23758","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_251","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Rhodotorula","s__Rhodotorula minuta"
"OTU_63333","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_64501","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_74109","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_52491","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Xylobolus","s__Xylobolus annosus"
"OTU_49009","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_62736","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Bjerkandera","s__Bjerkandera adusta"
"OTU_63012","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_13995","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Hypholoma","s__Hypholoma fasciculare"
"OTU_13523","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_64008","k__Fungi","p__Ascomycota","c__Incertae sedis","o__Incertae sedis","f__Incertae sedis","g__Sclerococcum","s__Sclerococcum sp"
"OTU_51249","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus oeirensis"
"OTU_52251","k__Fungi","p__Ascomycota","c__Incertae sedis","o__Incertae sedis","f__Incertae sedis","g__Sphaeriothyrium","s__Sphaeriothyrium filicinum"
"OTU_2305","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_65746","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_138","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU_1268","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Macrophomina","s__Macrophomina phaseolina"
"OTU_49669","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_58025","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Rhodotorula","s__Rhodotorula nothofagi"
"OTU_73558","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_271","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae sedis","g__unidentified","s__Hypocreales sp"
"OTU_60699","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_68764","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Pseudocercospora","s__Pseudocercospora cornicola"
"OTU_13086","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_605","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_3477","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis","g__Cryptococcus","s__Cryptococcus peneaus"
"OTU_72901","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU_424","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phaeococcomyces","s__Phaeococcomyces sp"
"OTU_37068","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_54430","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_22006","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_1553","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_65199","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella",NA
"OTU_69825","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"OTU_63381","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_40151","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_52700","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_63379","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_646","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__uncultured Phaeotheca"
