"","tax1","tax2","tax3","tax4","tax5","tax6","tax7"
"OTU_360","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_45150","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae",NA,NA
"OTU_3","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium",NA
"OTU_29537","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_5851","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_53684","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_37081","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_57700","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_42126","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum nigrum"
"OTU_57752","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Aureobasidium","s__Aureobasidium pullulans"
"OTU_233","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU_64722","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__Cystofilobasidium capitatum"
"OTU_4","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_75815","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria alternata"
"OTU_79","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_205","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__unidentified","g__unidentified","s__Trichomerium deniqulatum"
"OTU_386","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Rhodotorula","s__Rhodotorula aurantiaca"
"OTU_95","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Ischnoderma","s__Ischnoderma benzoinum"
"OTU_17","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Penidiella","s__Penidiella sp"
"OTU_7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__unidentified","g__unidentified","s__Pleosporales sp 1 MU_2012"
"OTU_327","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Engyodontium","s__Engyodontium album"
"OTU_172","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Setosphaeria","s__Setosphaeria turcica"
"OTU_18","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_15","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU_36","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Septoria"
"OTU_142","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Mycocentrospora","s__Mycocentrospora sp"
"OTU_1","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_22","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__Trametes versicolor"
"OTU_34","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Agaricostilbaceae","g__Sterigmatomyces","s__Sterigmatomyces halophilus"
"OTU_330","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU_46","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium steckii"
"OTU_56913","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_123","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus penicillioides"
"OTU_68612","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus sp 7L1"
"OTU_17232","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Incertae sedis","g__Khuskia","s__Khuskia oryzae"
"OTU_17793","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria alternata"
"OTU_5017","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Coprinus","s__Coprinus sp TM03"
"OTU_71422","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_197","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU_7914","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_61214","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"OTU_63370","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__Stemphylium solani"
"OTU_85","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Incertae sedis","g__Candida","s__Candida sp"
"OTU_64499","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_68","k__Fungi","p__Basidiomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__uncultured basidiomycota sp p1_9"
"OTU_47484","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_15460","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_157","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Incertae sedis","f__Plectosphaerellaceae","g__Lectera","s__Lectera longa"
"OTU_55683","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_62","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Blumeria","s__Blumeria graminis"
"OTU_69715","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_136","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Amphobotrys","s__Amphobotrys ricini"
"OTU_47412","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_291","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Incertae sedis","g__Coniosporium",NA
"OTU_93","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Cochliobolus","s__Cochliobolus lunatus"
"OTU_706","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Capnobotryella","s__Capnobotryella renispora"
"OTU_63030","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis",NA,NA
"OTU_161","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__unidentified","s__uncultured Exophiala"
"OTU_75","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium citrinum"
"OTU_65483","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_52937","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_938","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiaceae","g__Capnodium","s__Capnodium sp"
"OTU_72026","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma","s__Phoma rhei"
"OTU_855","k__Fungi","p__Basidiomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__basidiomycete from Phyllostachys pubescens"
"OTU_24","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_977","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_145","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis",NA,NA
"OTU_55695","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_23","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__unidentified","s__Peniophoraceae sp"
"OTU_69","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__Mycosphaerella sp AA_2012"
"OTU_6975","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phaeococcomyces","s__Phaeococcomyces eucalypti"
"OTU_76063","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus vitricola"
"OTU_23668","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU_58005","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_41415","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum nigrum"
"OTU_51497","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae",NA,NA
"OTU_4870","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_2374","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma","s__Lophiostoma fuckelii"
"OTU_110","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU_73171","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Incertae sedis","g__Exidia","s__Exidia sp"
"OTU_66146","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_29637","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_55980","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_45139","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Hortaea","s__Hortaea werneckii"
"OTU_75841","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_73154","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Cochliobolus","s__Cochliobolus australiensis"
"OTU_52263","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_27","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU_198","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Hortaea","s__Hortaea sp"
"OTU_75377","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_64","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_129","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis","g__Cryptococcus","s__Cryptococcus laurentii"
"OTU_37","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_75723","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Aureobasidium","s__Aureobasidium pullulans"
"OTU_74895","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_6","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus vitricola"
"OTU_75650","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_56992","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_77","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phaeococcomyces","s__Phaeococcomyces eucalypti"
"OTU_30934","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_150","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__Exophiala xenobiotica"
"OTU_1373","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae",NA,NA
"OTU_53907","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_232","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Capnobotryella","s__Capnobotryella sp"
"OTU_39","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Incertae sedis","g__Khuskia","s__Khuskia oryzae"
"OTU_31","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes sp genotype 71"
"OTU_620","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Issatchenkia","s__Issatchenkia orientalis"
"OTU_74447","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__Mycosphaerella punctiformis"
"OTU_230","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Physalacriaceae","g__Strobilurus","s__Strobilurus stephanocystis"
"OTU_83","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Udeniomyces","s__Udeniomyces puniceus"
"OTU_33623","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_61","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Lewia","s__Lewia infectoria"
"OTU_231","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_87","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU_199","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__Phlebia fuscoatra"
"OTU_65562","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_444","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_58977","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Cochliobolus",NA
"OTU_6248","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae",NA,NA
"OTU_54","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU_75850","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Aureobasidium","s__Aureobasidium pullulans"
"OTU_10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_285","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Erysiphe",NA
"OTU_50982","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_60","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala","s__Phialocephala fluminis"
"OTU_324","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Incertae sedis","g__Coniosporium","s__Coniosporium uncinatum"
"OTU_264","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__Cystofilobasidium infirmominiatum"
"OTU_73","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_73939","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_439","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_1411","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Sporobolomyces","s__Sporobolomyces elongatus"
"OTU_41763","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"OTU_17642","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_73348","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_62726","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_185","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_108","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota sp G26_89"
"OTU_58644","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_189","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Devriesia","s__Devriesia imbrexigena"
"OTU_92","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU_329","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Hyphoderma","s__Hyphoderma puberum"
"OTU_75845","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_54864","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_16","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__Stereum sanguinolentum"
"OTU_46643","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_65190","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_55115","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU_19","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Incertae sedis","g__Khuskia","s__Khuskia oryzae"
"OTU_167","k__Fungi","p__Ascomycota","c__Incertae sedis","o__Incertae sedis","f__Incertae sedis","g__Sclerococcum","s__Sclerococcum sp"
"OTU_62993","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_125","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_20","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus niger"
"OTU_184","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella","s__Eutypella sp CCG_2012"
"OTU_1034","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Incertae sedis","f__Incertae sedis","g__Cryptovalsa","s__Cryptovalsa ampelina"
"OTU_21660","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_530","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_64994","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_35081","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_32","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU_188","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__Preussia typharum"
"OTU_24935","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_74669","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_626","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma","s__Phoma sp 43 FH_2011"
"OTU_300","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU_68295","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU_72132","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_62156","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_74847","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_29971","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Rhodotorula","s__Rhodotorula aurantiaca"
"OTU_75427","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_14","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales",NA,NA,NA
"OTU_501","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_39903","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_867","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Parmelia","s__Parmelia sp"
"OTU_53387","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_71","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_63428","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_1736","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_74798","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_3322","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_45967","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma","s__Phoma exigua"
"OTU_1574","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Phaeotheca","s__Phaeotheca triangularis"
"OTU_217","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Incertae sedis","g__Exidiopsis","s__Exidiopsis plumbescens"
"OTU_43828","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_67956","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_35246","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_69845","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_38420","k__Fungi","p__Ascomycota","c__Incertae sedis","o__Incertae sedis","f__Incertae sedis","g__Sphaeriothyrium","s__Sphaeriothyrium filicinum"
"OTU_103","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_29320","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_6872","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum nigrum"
"OTU_35478","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus oeirensis"
"OTU_75656","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_21","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium oxysporum"
"OTU_4739","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Ascochyta","s__Ascochyta sp"
"OTU_20211","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Gibberella","s__Gibberella intricans"
"OTU_53","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Kabatiella","s__Kabatiella sp"
"OTU_292","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_75752","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium",NA
"OTU_30602","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Devriesia","s__Devriesia imbrexigena"
"OTU_1628","k__Fungi","p__Basidiomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__basidiomycete sp OS_S24"
"OTU_26316","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Incertae sedis",NA,NA
"OTU_15341","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
