"","lon","lat"
"1455",-86.9,39.6
"1456",-117.2,46.7
"1458",-79.1,35.9
"1459",-88.1,43
"1460",-75.7,39.8
"1462",-97.1,47.9
"1463",-103.3,34.2
"1464",-103.1,32.7
"1466",-78.5,37.8
"1468",-79,35.9
"1469",-77.8,39.3
"1470",-79.9,36
"1471",-82.3,29.7
"1472",-78.6,35.9
"1473",-81.5,36.2
"1474",-78.9,36
"1475",-79,35.9
"1476",-74,42
"1479",-82.6,27.4
"1480",-78.7,35.7
"1481",-74,40.6
"1482",-78.5,38
"1483",-86.2,41.7
"1484",-82.7,28
"1485",-95.4,29.7
"1486",-105.1,40.6
"1487",-68.6,44.5
"1488",-94.1,36.1
"1489",-78.8,43
"1491",-80.1,26.9
"1492",-105.1,39.7
"1494",-122.4,37.8
"1495",-97.7,30.2
"1496",-86.1,44.4
"1497",-82.4,27.5
"1498",-78.9,36
"1499",-110.8,32.2
"1500",-84.3,33.8
"1501",-117.4,47.7
"1502",-110.6,31.7
"1504",-80.4,37.2
"1505",-123.1,44.1
"1506",-93.7,36.4
"1507",-79,35.9
"1509",-86.8,36.2
"1510",-76.9,40.3
"1511",-97.2,32.6
"1512",-79.8,38.5
"1513",-78.7,35.9
"1515",-76.7,39.4
"1517",-78.9,35.9
"1518",-117,46.7
"1519",-81.2,35.2
"1520",-79.1,36
"1521",-80.6,40.7
"1522",-77.5,38.8
"1523",-118.5,34
"1524",-82.5,35.8
"1525",-77,38.9
"1526",-82.5,28
"1527",-85.3,37.6
"1528",-79.1,35.7
"1529",-71.1,42.4
"1532",-122.4,37.8
"1533",-96.8,33
"1534",-79,36
"1535",-71.4,41.8
"1536",-119.3,46.3
"1538",-81.6,35.9
"1539",-71.1,42.4
"1540",-81,35.2
"1541",-79.5,35.2
"1542",-78.6,35.8
"1544",-72.2,43.6
"1545",-77.9,40.8
"1547",-72.2,43.6
"1548",-77.5,38.9
"1549",-80.2,42.1
"1550",-95.7,39
"1551",-79,35.9
"1555",-117.8,33.6
"1556",-77.9,40.7
"1557",-79.2,35.7
"1558",-96.7,32.8
"1559",-75,39.8
"1560",-80.4,37.2
"1561",-90.7,40.4
"1562",-79.1,36
"1564",-122.2,47.6
"1565",-97.7,30.3
"1566",-81.2,28.7
"1567",-82.5,28.1
"1568",-78.9,37.9
"1569",-122.3,40.2
"1570",-80.5,35.7
"1572",-121.3,38.6
"1573",-94.6,39.1
"1574",-80,37.3
"1575",-79.1,35.9
"1576",-82.1,27
"1577",-82.6,27.4
"1578",-122.2,37.4
"1579",-77.9,40.8
"1581",-116.5,43.7
"1582",-91.1,30.4
"1583",-79.2,35.5
"1584",-118.3,34
"1585",-118.4,34
"1586",-117.1,32.8
"1587",-82.7,28
"1590",-78.9,36.7
"1591",-89.9,29.9
"1592",-82.5,28
"1593",-78.9,35.8
"1594",-82.1,27
"1596",-68.4,44.3
"1597",-76.8,39.1
"1598",-82.8,36.9
"1599",-71.2,42.4
"1600",-73.2,44.5
"1601",-89.4,43.1
"1602",-93.2,44.6
"1604",-78.8,35.8
"1605",-89.5,44.5
"1606",-78.4,38
"1608",-82.7,27.7
"1609",-81.7,36.2
"1610",-78.7,35.9
"1611",-71.1,42.4
"1612",-121.3,38.6
"1613",-79.1,35.9
"1614",-78.9,36
"1616",-122.5,37.9
"1617",-73.1,41.4
"1618",-123,44
"1619",-93.2,37.3
"1620",-122.4,37.8
"1622",-75.7,40
"1623",-71.1,42.5
"1624",-85.6,42.2
"1625",-80.8,35.1
"1627",-77.1,38.9
"1628",-106.7,35.2
"1630",-111.9,40.7
"1631",-122.2,38.1
"1633",-88.1,41.7
"1634",-76.4,40.3
"1635",-77,38.9
"1636",-87.7,42
"1637",-89.2,37.7
"1638",-87.9,42.9
"1639",-84.4,42.3
"1640",-84.4,39.3
"1642",-78.4,35.8
"1643",-74,40.7
"1644",-87.9,42.1
